1F,4316.00,264.00,3.35,0.90,4962.00,350.00,3.3,0.44
1P,2194.00,79.00,1.66,0.68,1548.00,85.00,3.09,0.69
2F,443.00,48.00,7.60,3.06,636.00,81.00,8.95,1.88
2P,2755.00,139.00,3.54,1.24,2558.00,337.00,9.43,1.48
3F,1402.00,244.00,16.32,4.77,2027.00,282.00,4.05,0.86
3P,619.00,61.00,13.17,4.39,,,,
4F,7589.00,1028.00,5.07,1.54,7589.00,940.00,3.82,0.46
5F,1355.00,388.00,10.04,2.56,286.00,146.00,19.39,6.66
5P,980.00,282.00,7.15,2.01,2050.00,1010.00,14.8,2.51
6F,1675.00,69.00,1.75,0.59,732.00,77.00,1.82,0.51
6P,4987.00,362.00,2.12,0.69,5929.00,925.00,3.04,0.61
7F,2181.00,89.00,2.03,0.62,1742.00,174.00,3.38,0.58
7P,5275.00,133.00,1.30,0.54,4948.00,175.00,1.6,1.38
8F,1746.00,169.00,8.31,2.59,1595.00,123.00,2.48,0.59
8P,83.00,30.00,8.81,7.15,,,,
9F,2435.00,482.00,5.72,2.17,2858.00,253.00,1.69,0.55
9P,2889.00,338.00,1.07,0.45,,,,
10F,1465.00,183.00,1.65,0.60,2659.00,202.00,1.2,0.25
10P,6082.00,742.00,0.37,0.13,4888.00,245.00,0.42,0.22
11P,26867.00,710.00,0.94,0.36,26867.00,1249.00,0.93,0.25
12P,54829.00,492.00,0.81,0.24,54829.00,609.00,0.23,0.07
TOTAL,132169.00,6333.00,1.91,0.36,128703.00,7261.00,1.62,0.2
